state,fiscal_year,value,agency,bureau,program
Arizona,2016,19827,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Arkansas,2016,5300,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
California,2016,85592,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Colorado,2016,10174,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Connecticut,2016,18738,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Delaware,2016,5179,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
District of Columbia,2016,4567,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Florida,2016,43027,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Georgia,2016,36548,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Hawaii,2016,4972,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Idaho,2016,2868,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Illinois,2016,56874,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Indiana,2016,26182,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Iowa,2016,8508,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Kansas,2016,9812,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Kentucky,2016,16702,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Louisiana,2016,13865,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Maine,2016,3019,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Maryland,2016,23301,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Massachusetts,2016,44973,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Michigan,2016,32082,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Minnesota,2016,23368,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Mississippi,2016,6293,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Missouri,2016,24669,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Montana,2016,3191,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Nebraska,2016,10595,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Nevada,2016,2580,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Hampshire,2016,4582,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Jersey,2016,26374,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Mexico,2016,8308,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New York,2016,101983,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
North Carolina,2016,69639,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
North Dakota,2016,2506,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Ohio,2016,70124,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Oklahoma,2016,24910,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Oregon,2016,19409,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Pennsylvania,2016,55337,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Rhode Island,2016,6634,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
South Carolina,2016,9867,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
South Dakota,2016,1711,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Tennessee,2016,37702,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Texas,2016,59844,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Utah,2016,12592,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Vermont,2016,3945,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Virginia,2016,21329,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Washington,2016,41883,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
West Virginia,2016,8727,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Wisconsin,2016,24511,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Wyoming,2016,2815,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Alabama,2017,16442,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Alaska,2017,3545,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Arizona,2017,19827,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Arkansas,2017,5300,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
California,2017,85592,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Colorado,2017,10174,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Connecticut,2017,18738,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Delaware,2017,5179,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
District of Columbia,2017,4567,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Florida,2017,43027,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Georgia,2017,36548,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Hawaii,2017,4972,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Idaho,2017,2868,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Illinois,2017,56874,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Indiana,2017,26182,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Iowa,2017,8508,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Kansas,2017,9812,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Kentucky,2017,16702,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Louisiana,2017,13865,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Maine,2017,3019,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Maryland,2017,23301,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Massachusetts,2017,44973,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Michigan,2017,32082,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Minnesota,2017,23368,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Mississippi,2017,6293,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Missouri,2017,24669,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Montana,2017,3191,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Nebraska,2017,10595,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Nevada,2017,2580,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Hampshire,2017,4582,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Jersey,2017,26374,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Mexico,2017,8308,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New York,2017,101983,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
North Carolina,2017,69639,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
North Dakota,2017,2506,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Ohio,2017,70124,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Oklahoma,2017,24910,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Oregon,2017,19409,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Pennsylvania,2017,55337,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Rhode Island,2017,6634,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
South Carolina,2017,9867,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
South Dakota,2017,1711,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Tennessee,2017,37702,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Texas,2017,59844,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Utah,2017,12592,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Vermont,2017,3945,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Virginia,2017,21329,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Washington,2017,41883,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
West Virginia,2017,8727,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Wisconsin,2017,24511,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Wyoming,2017,2815,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Alabama,2018,16442,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Alaska,2018,3545,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Arizona,2018,19827,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Arkansas,2018,5300,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
California,2018,85592,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Colorado,2018,10174,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Connecticut,2018,18738,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Delaware,2018,5179,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
District of Columbia,2018,4567,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Florida,2018,43027,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Georgia,2018,36548,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Hawaii,2018,4972,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Idaho,2018,2868,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Illinois,2018,56874,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Indiana,2018,26182,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Iowa,2018,8508,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Kansas,2018,9812,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Kentucky,2018,16702,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Louisiana,2018,13865,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Maine,2018,3019,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Maryland,2018,23301,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Massachusetts,2018,44973,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Michigan,2018,32082,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Minnesota,2018,23368,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Mississippi,2018,6293,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Missouri,2018,24669,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Montana,2018,3191,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Nebraska,2018,10595,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Nevada,2018,2580,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Hampshire,2018,4582,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Jersey,2018,26374,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New Mexico,2018,8308,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
New York,2018,101983,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
North Carolina,2018,69639,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
North Dakota,2018,2506,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Ohio,2018,70124,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Oklahoma,2018,24910,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Oregon,2018,19409,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Pennsylvania,2018,55337,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Rhode Island,2018,6634,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
South Carolina,2018,9867,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
South Dakota,2018,1711,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Tennessee,2018,37702,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Texas,2018,59844,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Utah,2018,12592,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Vermont,2018,3945,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Virginia,2018,21329,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Washington,2018,41883,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
West Virginia,2018,8727,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Wisconsin,2018,24511,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Wyoming,2018,2815,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Fund-Mandatory
Alabama,2016,50468,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Alaska,2016,5151,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Arizona,2016,68258,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Arkansas,2016,32512,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
California,2016,303730,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Colorado,2016,34568,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Connecticut,2016,17428,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Delaware,2016,7176,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
District of Columbia,2016,4377,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Florida,2016,158564,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Georgia,2016,114452,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Hawaii,2016,9869,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Idaho,2016,16250,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Illinois,2016,95660,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Indiana,2016,63181,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Iowa,2016,23641,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Kansas,2016,25461,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Kentucky,2016,48476,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Louisiana,2016,48228,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Maine,2016,8567,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Maryland,2016,33757,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Massachusetts,2016,33555,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Michigan,2016,83473,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Minnesota,2016,36892,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Mississippi,2016,37942,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Missouri,2016,52031,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Montana,2016,7827,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Nebraska,2016,15531,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Nevada,2016,24415,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Hampshire,2016,5954,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Jersey,2016,48936,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Mexico,2016,22850,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New York,2016,123273,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
North Carolina,2016,91174,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
North Dakota,2016,4484,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Ohio,2016,93745,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Oklahoma,2016,39423,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Oregon,2016,30673,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Pennsylvania,2016,80442,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Rhode Island,2016,6438,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
South Carolina,2016,48030,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
South Dakota,2016,6808,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Tennessee,2016,62216,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Texas,2016,287679,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Utah,2016,31913,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Vermont,2016,3591,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Virginia,2016,53214,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Washington,2016,48074,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
West Virginia,2016,17027,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Wisconsin,2016,41639,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Wyoming,2016,3541,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Alabama,2017,50368,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Alaska,2017,5141,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Arizona,2017,68123,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Arkansas,2017,32448,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
California,2017,303124,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Colorado,2017,34500,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Connecticut,2017,17393,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Delaware,2017,7162,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
District of Columbia,2017,4368,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Florida,2017,158249,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Georgia,2017,114224,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Hawaii,2017,9850,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Idaho,2017,16217,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Illinois,2017,95470,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Indiana,2017,63056,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Iowa,2017,23594,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Kansas,2017,25411,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Kentucky,2017,48380,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Louisiana,2017,48132,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Maine,2017,8550,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Maryland,2017,33690,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Massachusetts,2017,33489,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Michigan,2017,83308,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Minnesota,2017,36819,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Mississippi,2017,37866,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Missouri,2017,51928,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Montana,2017,7812,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Nebraska,2017,15500,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Nevada,2017,24367,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Hampshire,2017,5942,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Jersey,2017,48839,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Mexico,2017,22804,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New York,2017,123029,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
North Carolina,2017,90993,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
North Dakota,2017,4476,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Ohio,2017,93560,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Oklahoma,2017,39345,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Oregon,2017,30612,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Pennsylvania,2017,80283,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Rhode Island,2017,6425,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
South Carolina,2017,47935,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
South Dakota,2017,6795,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Tennessee,2017,62093,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Texas,2017,287107,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Utah,2017,31850,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Vermont,2017,3583,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Virginia,2017,53108,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Washington,2017,47979,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
West Virginia,2017,16993,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Wisconsin,2017,41557,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Wyoming,2017,3534,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Alabama,2018,50468,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Alaska,2018,5151,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Arizona,2018,68258,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Arkansas,2018,32512,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
California,2018,303730,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Colorado,2018,34568,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Connecticut,2018,17428,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Delaware,2018,7176,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
District of Columbia,2018,4377,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Florida,2018,158564,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Georgia,2018,114452,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Hawaii,2018,9869,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Idaho,2018,16250,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Illinois,2018,95660,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Indiana,2018,63181,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Iowa,2018,23641,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Kansas,2018,25461,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Kentucky,2018,48476,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Louisiana,2018,48228,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Maine,2018,8567,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Maryland,2018,33757,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Massachusetts,2018,33555,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Michigan,2018,83473,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Minnesota,2018,36892,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Mississippi,2018,37942,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Missouri,2018,52031,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Montana,2018,7827,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Nebraska,2018,15531,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Nevada,2018,24415,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Hampshire,2018,5954,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Jersey,2018,48936,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New Mexico,2018,22850,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
New York,2018,123273,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
North Carolina,2018,91174,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
North Dakota,2018,4484,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Ohio,2018,93745,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Oklahoma,2018,39423,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Oregon,2018,30673,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Pennsylvania,2018,80442,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
Rhode Island,2018,6438,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
South Carolina,2018,48030,Department of Health and Human Services,Administration for Children and Families,Child Care and Development Block Grant
